Date,Open,High,Low,Close,Adj Close,Volume
1998-07-17,291.651489,293.165253,289.633179,292.660706,104.422935,7630
1998-07-20,293.165253,294.174469,288.623962,291.651489,104.062843,6081
1998-07-21,291.146942,293.165253,290.642670,292.156128,104.242882,5028
1998-07-22,284.082672,284.587616,280.550598,280.550598,100.101959,6265
1998-07-23,279.541382,281.055145,275.505035,277.523071,99.021736,10047
1998-07-24,276.009308,276.513855,272.477509,276.513855,98.661682,6307
1998-07-27,278.027618,278.532562,272.477509,272.477509,97.221420,4394
1998-07-28,278.532562,281.055145,272.477509,279.541382,99.741852,5430
1998-07-29,272.477509,276.513855,271.467987,274.495544,97.941483,2888
1998-07-30,269.449982,269.449982,266.422455,268.440460,95.781013,5502
1998-07-31,269.449982,277.018494,266.422455,275.505035,98.301674,2051
1998-08-03,275.505035,275.505035,267.431335,271.467987,96.861275,7654
1998-08-04,271.467987,275.505035,270.458801,275.000092,98.121567,4512
1998-08-05,257.339874,263.899170,257.339874,263.899170,94.160675,12772
1998-08-06,262.385406,266.422455,259.357941,263.899170,94.160675,9131
1998-08-07,266.926697,270.458801,265.917572,270.458801,96.501106,7649
1998-08-10,266.926697,267.431335,264.908386,266.926697,95.240898,3893
1998-08-11,264.908386,264.908386,254.816666,260.367401,92.900459,6711
1998-08-12,263.394928,268.440460,260.367401,264.908386,94.520729,10077
1998-08-13,267.431335,269.449982,264.908386,267.431335,95.420944,10408
1998-08-14,269.954224,271.972565,265.917572,268.440460,95.781013,2947
1998-08-17,265.412933,268.945099,261.376282,268.945099,95.961060,3152
1998-08-18,272.477509,276.513855,270.963440,275.000092,98.121567,5165
1998-08-19,277.018494,278.532562,275.505035,277.018494,98.841682,5915
1998-08-20,277.018494,278.027618,273.990967,275.000092,98.121567,5229
1998-08-21,273.990967,274.495544,266.422455,266.422455,95.060997,8199
1998-08-24,270.458801,273.486328,268.440460,270.963440,96.681221,13753
1998-08-25,272.477509,277.018494,271.972565,277.018494,98.841682,3438
1998-08-26,272.981781,272.981781,268.440460,269.449982,96.141212,9616
1998-08-27,272.477509,273.486328,266.422455,267.935913,95.600967,40163
1998-08-28,254.312332,261.376282,246.238647,257.339874,91.820251,24346
1998-08-31,250.779938,254.312332,242.202225,242.202225,86.419075,8348
1998-09-01,238.165253,241.192780,211.926941,232.614777,82.998207,18084
1998-09-02,241.697357,245.229752,240.183594,241.192780,86.058922,15151
1998-09-03,233.119644,233.119644,223.027618,223.027618,79.577415,10077
1998-09-04,223.027618,227.568909,222.523056,227.064590,81.017868,9037
1998-09-07,222.018478,224.037064,218.486328,218.990952,78.137146,11271
1998-09-08,220.504715,229.587234,218.990952,229.587234,81.917953,11791
1998-09-09,234.128540,238.165253,230.092117,234.128540,83.538300,10151
1998-09-10,234.128540,234.128540,211.926941,214.954468,76.696915,17638
1998-09-11,214.954468,216.972565,209.908371,209.908371,74.896461,10516
1998-09-14,209.908371,227.568909,209.908371,227.568909,81.197792,11098
1998-09-15,223.532242,223.532242,217.477188,220.504715,78.677277,8546
1998-09-16,220.504715,230.596436,220.504715,226.055145,80.657700,13855
1998-09-17,226.055145,226.055145,213.440460,217.981995,77.777176,34815
1998-09-18,217.981995,221.009521,215.963425,217.981995,77.777176,10701
1998-09-21,215.963425,215.963425,207.889984,211.926941,75.616676,10587
1998-09-22,222.523056,226.055145,222.018478,224.037064,79.937630,13798
1998-09-23,224.541382,230.092117,224.541382,227.064590,81.017868,4805
1998-09-24,237.156067,237.660629,234.128540,234.128540,83.538300,10964
1998-09-25,234.128540,234.128540,220.000092,226.055145,80.657700,9066
1998-09-28,232.110199,237.156067,230.596436,236.147171,85.162781,6123
1998-09-29,236.147171,237.660629,231.605637,231.605637,83.524918,3096
1998-09-30,231.100998,231.100998,225.046005,225.046005,81.159264,9089
1998-10-01,220.504715,220.504715,203.853317,214.954468,77.519958,23267
1998-10-02,208.899414,210.917511,194.770737,201.633347,72.715851,20991
1998-10-05,199.816833,204.357880,198.302826,201.834930,72.788582,19645
1998-10-06,196.385437,207.889984,196.385437,200.825790,72.424675,3393
1998-10-07,202.339554,202.339554,195.779861,195.779861,70.604912,7119
1998-10-08,195.779861,198.403763,189.724869,190.734253,68.785271,10563
1998-10-09,190.633072,198.807404,185.688156,185.688156,66.965477,22617
1998-10-12,195.779861,200.825790,194.770737,198.201889,71.478401,10077
1998-10-13,197.798264,201.633347,197.798264,201.633347,72.715851,4880
1998-10-14,202.844360,206.376221,202.339554,205.367081,74.062431,6445
1998-10-15,206.880844,209.908371,206.880844,208.394608,75.154243,6906
1998-10-16,217.981995,221.009521,215.963425,221.009521,79.703613,7707
1998-10-19,224.037064,224.037064,221.513855,222.523056,80.249443,8224
1998-10-20,225.046005,231.100998,223.532242,227.064590,81.887253,8348
1998-10-21,223.532242,227.064590,222.018478,226.055145,81.523247,8556
1998-10-22,229.082672,231.100998,226.055145,227.568909,82.069122,7545
1998-10-23,235.137726,235.137726,232.110199,232.110199,83.706871,7317
1998-10-26,232.110199,236.651489,232.110199,234.633102,84.616737,9577
1998-10-27,237.156067,242.202225,235.642303,238.669830,86.072495,6103
1998-10-28,232.110199,232.110199,229.587234,229.587234,82.797005,11509
1998-10-29,229.587234,231.100998,227.064590,229.082672,82.615044,8328
1998-10-30,237.156067,240.183594,236.651489,240.183594,86.618393,3022
1998-11-02,238.165253,241.192780,237.156067,240.183594,86.618393,7773
1998-11-03,239.174698,241.192780,237.156067,241.192780,86.982391,6221
1998-11-04,244.724884,248.257278,244.220306,245.229752,88.438232,12495
1998-11-05,244.220306,246.743210,240.688156,243.211121,87.710289,11038
1998-11-06,249.770737,251.284805,248.257278,248.257278,89.530098,6151
1998-11-09,248.257278,253.302902,248.257278,251.284805,90.621918,4713
1998-11-10,249.266174,252.293701,247.247833,252.293701,90.985779,8437
1998-11-11,250.275375,252.293701,246.238647,246.238647,88.802078,3792
1998-11-12,243.211121,247.247833,242.706543,244.724884,88.256180,8407
1998-11-13,243.715683,246.743210,243.715683,246.743210,88.984024,7530
1998-11-16,245.734070,248.761597,244.220306,246.238647,88.802078,4236
1998-11-17,251.284805,252.293701,247.752411,247.752411,89.348000,6136
1998-11-18,248.761597,251.284805,242.202225,251.284805,90.621918,6886
1998-11-19,255.825790,257.339874,254.312332,254.312332,91.713760,6267
