Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.000000,5.562500,5.234375,5.234375,2.022768,18400
1973-02-22,0.000000,5.328125,5.234375,5.281250,2.040883,31200
1973-02-23,0.000000,5.281250,5.062500,5.062500,1.956350,29600
1973-02-26,0.000000,5.093750,5.000000,5.000000,1.932197,21600
1973-02-27,0.000000,5.031250,4.953125,4.953125,1.914082,12800
1973-02-28,0.000000,4.953125,4.859375,4.937500,1.908044,44800
1973-03-01,0.000000,5.000000,4.953125,4.953125,1.914082,23200
1973-03-02,0.000000,4.984375,4.843750,4.921875,1.912625,52800
1973-03-05,0.000000,4.937500,4.906250,4.906250,1.906553,21600
1973-03-06,0.000000,4.828125,4.765625,4.796875,1.864050,18400
1973-03-07,0.000000,4.812500,4.625000,4.656250,1.809404,141600
1973-03-08,0.000000,4.750000,4.625000,4.687500,1.821548,40000
1973-03-09,0.000000,4.750000,4.687500,4.718750,1.833692,88000
1973-03-12,0.000000,4.734375,4.687500,4.687500,1.821548,46400
1973-03-13,0.000000,4.703125,4.656250,4.687500,1.821548,60000
1973-03-14,0.000000,4.687500,4.625000,4.656250,1.809404,103200
1973-03-15,0.000000,4.578125,4.375000,4.375000,1.700112,70400
1973-03-16,0.000000,4.296875,4.125000,4.281250,1.663681,141600
1973-03-19,0.000000,4.265625,4.187500,4.234375,1.645465,69600
1973-03-20,0.000000,4.203125,4.140625,4.203125,1.633322,72800
1973-03-21,0.000000,4.234375,4.156250,4.234375,1.645465,60000
1973-03-22,0.000000,4.281250,4.171875,4.281250,1.663681,82400
1973-03-23,0.000000,4.296875,4.250000,4.296875,1.669753,79200
1973-03-26,0.000000,4.328125,4.281250,4.296875,1.669753,51200
1973-03-27,0.000000,4.515625,4.296875,4.515625,1.754759,76000
1973-03-28,0.000000,4.687500,4.562500,4.640625,1.803333,70400
1973-03-29,0.000000,4.968750,4.671875,4.953125,1.924769,63200
1973-03-30,0.000000,4.953125,4.812500,4.906250,1.906553,40800
1973-04-02,0.000000,4.937500,4.828125,4.859375,1.888338,24000
1973-04-03,0.000000,4.859375,4.750000,4.828125,1.876194,49600
1973-04-04,0.000000,4.812500,4.640625,4.640625,1.803333,34400
1973-04-05,0.000000,4.625000,4.593750,4.625000,1.797260,68000
1973-04-06,0.000000,4.578125,4.343750,4.343750,1.687969,46400
1973-04-09,0.000000,4.390625,4.125000,4.265625,1.657609,360800
1973-04-10,0.000000,4.406250,4.296875,4.406250,1.712255,77600
1973-04-11,0.000000,4.671875,4.468750,4.671875,1.815477,132800
